URL,Name,Telephone,Street,Locality,Region,Post code,Country,Image URL
https://www.apartments.com/the-kings-kansas-city-mo/khspjn9/,The Kings,+1-816-272-8086,11330 Colorado Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/0IPljPWqWVIw_j6Aom4anLKx3sW9lhA5A41aXWsCLts/117/the-kings-kansas-city-mo-building-photo.jpg
https://www.apartments.com/timber-lakes-at-red-bridge-kansas-city-mo/533wzpn/,Timber Lakes at Red Bridge,+1-816-384-1975,11201 Montgall Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/dYMHBifQ2jYkdJiMUZzOOKLc0hYRrThrroCcN3DJitM/117/timber-lakes-at-red-bridge-kansas-city-mo-building-photo.jpg
https://www.apartments.com/calico-farms-kansas-city-mo/qkqe12y/,Calico Farms,+1-816-743-4273,11337 Calico Dr,Kansas City,MO,64137,US,https://images1.apartments.com/i2/6N-Dqwmq90sdL89QxY1ifsYUnKaZYzg_uiFbdBc06yE/117/calico-farms-kansas-city-mo-building-photo.jpg
https://www.apartments.com/haven-kansas-city-mo/nc6tkhn/,Haven,+1-864-416-7599,10500 Hillcrest Rd,Kansas City,MO,64134,US,https://images1.apartments.com/i2/OGTM5_umrYb_Ng1sf-UprPDCVA74PYMcbqqbNvoxhwk/117/haven-kansas-city-mo-building-photo.jpg
https://www.apartments.com/meadowood-apartments-kansas-city-mo/88sdx83/,Meadowood Apartments,+1-913-562-2356,5417 E 96th Pl,Kansas City,MO,64137,US,https://images1.apartments.com/i2/2jyvk47Hp7W6xlOhOg82c5z_ENaCEwvrnhkGgKhfsls/117/meadowood-apartments-kansas-city-mo-building-photo.jpg
https://www.apartments.com/prairie-walk-kansas-city-mo/wkl8cvl/,Prairie Walk,+1-844-300-9450,11026 College Ln,Kansas City,MO,64137,US,https://images1.apartments.com/i2/bY-WCdxW_8phg-IEDdviiBRprjVXbpVR7fJQQdh3myM/117/prairie-walk-kansas-city-mo-building-photo.jpg
https://www.apartments.com/urban-studio-43-kansas-city-mo/5gnthrm/,Urban Studio 43,+1-816-912-0584,5300-5320 Longview Rd,Kansas City,MO,64137,US,https://images1.apartments.com/i2/pbSkoJRfOmIXWmdI98aQ8orWGHG1zXo9M3BZFCjKLGM/117/urban-studio-43-kansas-city-mo-building-photo.jpg
https://www.apartments.com/rock-ridge-ranch-apartments-kansas-city-mo/j5z7m16/,Rock Ridge Ranch Apartments,+1-844-792-2098,10561 Cypress Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/wBxCFNCvchciR3CWlPKH0IRLGj3_P7ikQvyVDqzAk54/117/rock-ridge-ranch-apartments-kansas-city-mo-building-photo.jpg
https://www.apartments.com/canyon-creek-apartments-kansas-city-mo/f0zh9ct/,Canyon Creek Apartments,+1-844-614-8208,9355 Bales Ave,Kansas City,MO,64132,US,https://images1.apartments.com/i2/M5nqx_x-sCN1EQ07qUUB75X8imkq7mxVzHJrKRPM1Xw/117/canyon-creek-apartments-kansas-city-mo-interior-photo.jpg
https://www.apartments.com/11411-jackson-ave-kansas-city-mo/jsmt3n4/,11411 Jackson Ave,+1-,11411 Jackson Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/Yeza0F2QNn7KlyGP_iBXsCKJKJ7Uk11Rm7cCO1f3qvs/117/11411-jackson-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3307-e-107th-ter-kansas-city-mo/3t1vysg/,3307 E 107th Ter,+1-816-307-3341,3307 E 107th Ter,Kansas City,MO,64137,US,https://images1.apartments.com/i2/_scNQDfLnVroOpz5gBk_2vvGDN43n9cZ8eOHjhZx8_o/117/3307-e-107th-ter-kansas-city-mo-building-photo.jpg
https://www.apartments.com/11200-college-ave-kansas-city-mo/cxwlsqe/,11200 College Ave,+1-816-702-6750,11200 College Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/W9EVz83oV95fJJC18QzmuZvUMRnNXl9m-R1QdhPyNWE/117/11200-college-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/11218-college-ave-kansas-city-mo/ddvf0cl/,11218 College Ave,+1-816-702-6753,11218 College Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/mOET4L52ZjMG1IVmulr5n8B6nqNlpVIGyKX4maXXeZk/117/11218-college-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-25-bath-house-9814-hardesty-ave-kansas-city-mo/sdwskq4/,"3 br, 2.5 bath House - 9814 Hardesty Ave",+1-816-453-5532,9814 Hardesty Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/_N42Mjg55KAsh48T54xGKib9be5k8DuiF3R7PGqrsyA/118/3-br-25-bath-house---9814-hardesty-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-1-bath-house-5711-e-101-terr-kansas-city-mo/c17mvve/,"3 br, 1 bath House - 5711 E 101 Terr",+1-816-634-2207,5711 E 101st Terrace,Kansas City,MO,64137,US,https://images1.apartments.com/i2/vrJ_LH95s-O6eKQQy7GYFesRky-YivjDG6GGXLf1DW8/118/3-br-1-bath-house---5711-e-101-terr-kansas-city-mo-building-photo.png
https://www.apartments.com/11805-lawndale-ave-kansas-city-mo/bgh77nc/,11805 Lawndale Ave,+1-913-802-6533,11805 Lawndale Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/javMCdsSNYZhUS1lROl2NdfLwpAwnimHICTPjSCY9QU/118/11805-lawndale-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/5624-e-102nd-st-kansas-city-mo/cgw2cce/,5624 E 102nd St,+1-913-802-6533,5624 E 102nd St,Kansas City,MO,64137,US,https://images1.apartments.com/i2/qLGJ8DswZmnQ49R90DJop5unf5AEJkYYy3Lsz36E99E/118/5624-e-102nd-st-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-1-bath-house-4103-e-107th-st-kansas-city-mo/zxzhxmz/,"3 br, 1 bath House - 4103 E 107th St",+1-816-668-3053,4103 E 107th St,Kansas City,MO,64137,US,https://images1.apartments.com/i2/HHFVPW-29GmtggbtkGzuew-AytEMOfDtWbEV5XMzmzY/118/3-br-1-bath-house---4103-e-107th-st-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-15-bath-house-11213-myrtle-ave-kansas-city-mo/b5yznx9/,"3 br, 1.5 bath House - 11213 Myrtle Ave",+1-816-668-3053,11213 Myrtle Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/-aJMEupGHIA3kh7D3nr1NuEX7q4UMirYQi0KYS2q5bc/118/3-br-15-bath-house---11213-myrtle-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/4516-e-111-terrace-kansas-city-mo/vzp848g/,4516 E 111 Terrace,+1-913-802-6533,4516 E 111 Terrace,Kansas City,MO,64137,US,https://images1.apartments.com/i2/P8zvBjJ7ihe7aOncVXAcD2woNRKhG4JrukaTTm0wvZY/118/4516-e-111-terrace-kansas-city-mo-building-photo.jpg
https://www.apartments.com/10100-hardesty-ave-kansas-city-mo/tpjd5pc/,10100 Hardesty Ave,+1-816-463-4098,10100 Hardesty Ave,Kansas City,MO,64137,US,https://images1.apartments.com/i2/nHl-2lcmdV1ZzZttNDqwUl0YE83xB1q1h_Tf_cwmjA4/118/10100-hardesty-ave-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-1-bath-house-6008-e-102nd-st-kansas-city-mo/jstlwb5/,"3 br, 1 bath House - 6008 E 102nd St",+1-816-405-4845,6008 E 102nd St,Kansas City,MO,64134,US,https://images1.apartments.com/i2/0mdIPZ2ym_31fpAi8IF3KXMv4UhXwvaNbjOgT9gfdes/118/3-br-1-bath-house---6008-e-102nd-st-kansas-city-mo-building-photo.png
https://www.apartments.com/3-br-1-bath-house-5906-e-101-st-kansas-city-mo/n498cyq/,"3 br, 1 bath House - 5906 E 101 St",+1-816-634-2207,5906 E 101st St,Kansas City,MO,64134,US,https://images1.apartments.com/i2/--6nwyBr7HVgun1yXC-B24OIOKfUUk9MLGB7MJC2M98/118/3-br-1-bath-house---5906-e-101-st-kansas-city-mo-building-photo.jpg
https://www.apartments.com/3-br-1-bath-house-10109-hillcrest-rd-kansas-city-mo/s28zcx4/,"3 br, 1 bath House - 10109 Hillcrest Rd.",+1-816-405-4845,10109 Hillcrest Rd,Kansas City,MO,64134,US,https://images1.apartments.com/i2/kuLnv3otPeXGYCZLWaX4Cl7Ox3N7e-TG81dCUhn2Ji8/118/3-br-1-bath-house---10109-hillcrest-rd-kansas-city-mo-building-photo.jpg
